threshold,precision,recall,f1,approval_rate,simulated_profit
0.1,0.049,0.051,0.05,0.959,476500
0.15,0.056,0.026,0.035,0.982,478500
0.2,0.083,0.026,0.039,0.988,478500
0.25,0.1,0.026,0.041,0.99,478500
0.3,0.167,0.026,0.044,0.994,478500
0.35,0.0,0.0,0.0,0.996,480500
0.4,0.0,0.0,0.0,0.996,480500
0.45,0.0,0.0,0.0,0.997,480500
0.5,0.0,0.0,0.0,0.998,480500
0.55,0.0,0.0,0.0,0.999,480500
0.6,0.0,0.0,0.0,0.999,480500
0.65,0.0,0.0,0.0,1.0,480500
0.7,0.0,0.0,0.0,1.0,480500
0.75,0.0,0.0,0.0,1.0,480500
0.8,0.0,0.0,0.0,1.0,480500
0.85,0.0,0.0,0.0,1.0,480500
